post_id,username,time,post_url,link,post_text,comments,shares,likes
10162578900589988,ABC News,2021-05-30 14:31:10,https://facebook.com/abcnews.au/posts/10162578900589988,https://ab.co/3ut9Hcw,"When Sarah couldn't find the product she needed for her young son, who feeds through a tube, she decided to create a commercial blended food product herself.

When Sarah couldn't find the product she needed for her young son, who feeds through a tube, she decided to create a commercial blended food product herself.

ABC.NET.AU
Sarah's son relies on tube feeding but she still wanted him to have a choice about what he consumed
When single mother Sarah Thomas couldn’t find the product she needed for her young son, who feeds through a tube, she decided to create a blended food product herself.",1,0,7
10162578693504988,ABC News,2021-05-30 12:30:08,https://facebook.com/abcnews.au/posts/10162578693504988,https://ab.co/3fytu61,"Sri Lanka faces an unprecedented pollution crisis as waves of plastic waste from a burning container ship hit the coast and threaten to devastate the local environment, a top environment official warns.

Sri Lanka faces an unprecedented pollution crisis as waves of plastic waste from a burning container ship hit the coast and threaten to devastate the local environment, a top environment official warns.

ABC.NET.AU
Sri Lanka faces 'worst beach pollution' in history from burning ship
Tonnes of plastic granules from the smouldering Singapore-registered MV X-Press Pearl are washing up on Sri Lanka's famed beaches.",14,11,23
10162578499604988,ABC News,2021-05-30 11:12:36,https://facebook.com/abcnews.au/posts/10162578499604988,https://ab.co/3p4nxAQ,"A senior federal Liberal MP is urging Victorian workers to go to Centrelink if they lose their income during the state's latest lockdown — but is unable to say whether they will actually receive any support.

A senior federal Liberal MP is urging Victorian workers to go to Centrelink if they lose their income during the state's latest lockdown — but is unable to say whether they will actually receive any support.

ABC.NET.AU
Tehan tells out-of-work Victorians to head to Centrelink, but they may not receive support
Federal Liberal MP Dan Tehan tells Victorian workers who have lost their income during the lockdown to ""go to Centrelink and see whether they are eligible"", despite suggestions they will not be.",389,54,106
10162572746774988,ABC News,2021-05-30 11:00:01,https://facebook.com/abcnews.au/posts/10162572746774988,https://www.abc.net.au/everyday/guilt-of-changing-cafes-hairdressers/100160364,"It begins with a casual coffee or a simple haircut, and then somehow you find yourself in a committed relationship, Jacinta writes. | ABC EVERYDAY

It begins with a casual coffee or a simple haircut, and then somehow you find yourself in a committed relationship, Jacinta writes. | ABC EVERYDAY

ABC.NET.AU
Why going to a new cafe or hairdresser feels like 'cheating'
It begins with a casual coffee or a simple haircut, and then somehow you find yourself in a committed relationship.",84,10,90
10162578339734988,ABC News,2021-05-30 10:05:00,https://facebook.com/abcnews.au/posts/10162578339734988,https://ab.co/2RZ9mRw,"The endangered bilbies are bouncing back in Charleville.

The endangered bilbies are bouncing back in Charleville.

ABC.NET.AU
Wild bilby boom a boon for Charleville's visitors
When the Charleville Bilby Experience closed its doors during COVID lockdown, the resident bilbies made the most of their newfound privacy.",34,56,882
10162578302569988,ABC News,2021-05-30 09:55:00,https://facebook.com/abcnews.au/posts/10162578302569988,https://ab.co/3uz9jsX,"For Renna Gayde, having a home for her family means everything, but keeping that roof over her head is also entrenching her in a cycle of poverty.

For Renna Gayde, having a home for her family means everything, but keeping that roof over her head is also entrenching her in a cycle of poverty.

ABC.NET.AU
WA's housing 'crisis' has left Renna Gayde living in 'a constant state of stress'. And she's not alone
For Renna Gayde, having a home for her family means everything, but keeping that roof over her head is also entrenching her in a cycle of poverty.",22,7,32
10162578335029988,ABC News,2021-05-30 09:48:05,https://facebook.com/abcnews.au/posts/10162578335029988,https://ab.co/3yIMIO9,"An aged care worker at a facility in Melbourne's west has been diagnosed with COVID-19, sending the home into lockdown.

An aged care worker at a facility in Melbourne's west has been diagnosed with COVID-19, sending the home into lockdown.

ABC.NET.AU
Melbourne aged care home sent into lockdown after worker contracts COVID
An aged care worker at a facility in Melbourne's west is diagnosed with COVID-19, sending the home into lockdown.",134,41,254
10162578300649988,ABC News,2021-05-30 09:44:00,https://facebook.com/abcnews.au/posts/10162578300649988,https://ab.co/3p45NFZ,"""I would want to go before I'm in nappies and before someone else is cleaning up my excretions as part of [their] daily love for me. I want to go when people remember me as being peaceful and able to say goodbye.""

""I would want to go before I'm in nappies and before someone else is cleaning up my excretions as part of [their] daily love for me. I want to go when people remember me as being peaceful and able to say goodbye.""

ABC.NET.AU
'I want to go before I am in nappies': Therese has a plan for the end of her life and a message for parliamentarians
Five months ago, Therese McLean says her life started to end. Her personal experience has only strengthened her resolve to see voluntary assisted dying made legal in Queensland.",76,34,650
10162578297219988,ABC News,2021-05-30 09:26:49,https://facebook.com/abcnews.au/posts/10162578297219988,https://ab.co/3fYJKfN,"Nissan Australia says Australia is ""missing out"" on newer, cheaper electric vehicle models in favour of countries that offer better incentives to motorists, pushing the country further behind the international market.

Nissan Australia says Australia is ""missing out"" on newer, cheaper electric vehicle models in favour of countries that offer better incentives to motorists, pushing the country further behind the international market.

ABC.NET.AU
Global car giant says Australia is 'missing out' on new, cheap electric car models
Electric vehicle experts say Australia is a ""backwater"" for global car manufacturers and is missing out on the latest EV technology.",160,34,299
10162578268209988,ABC News,2021-05-30 09:10:06,https://facebook.com/abcnews.au/posts/10162578268209988,https://ab.co/2R2UOzY,"Milo has flavoured Australian childhoods since the Great Depression. Now the Smithtown factory that makes it celebrates its centenary after employing generations of families.

Milo has flavoured Australian childhoods since the Great Depression. Now the Smithtown factory that makes it celebrates its centenary after employing generations of families.

ABC.NET.AU
The town that's made of Milo drinks to factory's century of success",66,122,694
