post_id,tokenization
10162578900589988,"[['``', 'when', 'sarah', 'couldnt', 'find', 'the', 'product', 'she', 'needed', 'for', 'her', 'young', 'son', ',', 'who', 'feeds', 'through', 'a', 'tube', ',', 'she', 'decided', 'to', 'create', 'a', 'commercial', 'blended', 'food', 'product', 'herself', '.', ""''""], ['``', 'abc.net.au', 'sarahs', 'son', 'relies', 'on', 'tube', 'feeding', 'but', 'she', 'still', 'wanted', 'him', 'to', 'have', 'a', 'choice', 'about', 'what', 'he', 'consumed', 'when', 'single', 'mother', 'sarah', 'thomas', 'couldn', '’', 't', 'find', 'the', 'product', 'she', 'needed', 'for', 'her', 'young', 'son', ',', 'who', 'feeds', 'through', 'a', 'tube', ',', 'she', 'decided', 'to', 'create', 'a', 'blended', 'food', 'product', 'herself', '.', ""''""]]"
10162578693504988,"[['sri', 'lanka', 'faces', 'an', 'unprecedented', 'pollution', 'crisis', 'as', 'waves', 'of', 'plastic', 'waste', 'from', 'a', 'burning', 'container', 'ship', 'hit', 'the', 'coast', 'and', 'threaten', 'to', 'devastate', 'the', 'local', 'environment', ',', 'a', 'top', 'environment', 'official', 'warns', '.'], ['``', 'abc.net.au', 'sri', 'lanka', 'faces', 'worst', 'beach', 'pollution', 'in', 'history', 'from', 'burning', 'ship', 'tonnes', 'of', 'plastic', 'granules', 'from', 'the', 'smouldering', 'singapore-registered', 'mv', 'x-press', 'pearl', 'are', 'washing', 'up', 'on', 'sri', 'lankas', 'famed', 'beaches', '.', ""''""]]"
10162578499604988,"[['``', 'a', 'senior', 'federal', 'liberal', 'mp', 'is', 'urging', 'victorian', 'workers', 'to', 'go', 'to', 'centrelink', 'if', 'they', 'lose', 'their', 'income', 'during', 'the', 'states', 'latest', 'lockdown', '—', 'but', 'is', 'unable', 'to', 'say', 'whether', 'they', 'will', 'actually', 'receive', 'any', 'support', '.', ""''""], ['abc.net.au', 'tehan', 'tells', 'out-of-work', 'victorians', 'to', 'head', 'to', 'centrelink', ',', 'but', 'they', 'may', 'not', 'receive', 'support', 'federal', 'liberal', 'mp', 'dan', 'tehan', 'tells', 'victorian', 'workers', 'who', 'have', 'lost', 'their', 'income', 'during', 'the', 'lockdown', 'to', '``', 'go', 'to', 'centrelink', 'and', 'see', 'whether', 'they', 'are', 'eligible', ""''"", ',', 'despite', 'suggestions', 'they', 'will', 'not', 'be', '.']]"
10162572746774988,"[['it', 'begins', 'with', 'a', 'casual', 'coffee', 'or', 'a', 'simple', 'haircut', ',', 'and', 'then', 'somehow', 'you', 'find', 'yourself', 'in', 'a', 'committed', 'relationship', ',', 'jacinta', 'writes', '.'], ['|', 'abc', 'everyday', 'it', 'begins', 'with', 'a', 'casual', 'coffee', 'or', 'a', 'simple', 'haircut', ',', 'and', 'then', 'somehow', 'you', 'find', 'yourself', 'in', 'a', 'committed', 'relationship', ',', 'jacinta', 'writes', '.'], ['``', '|', 'abc', 'everyday', 'abc.net.au', 'why', 'going', 'to', 'a', 'new', 'cafe', 'or', 'hairdresser', 'feels', 'like', 'cheating', 'it', 'begins', 'with', 'a', 'casual', 'coffee', 'or', 'a', 'simple', 'haircut', ',', 'and', 'then', 'somehow', 'you', 'find', 'yourself', 'in', 'a', 'committed', 'relationship', '.', ""''""]]"
10162578339734988,"[['the', 'endangered', 'bilbies', 'are', 'bouncing', 'back', 'in', 'charleville', '.'], ['``', 'abc.net.au', 'wild', 'bilby', 'boom', 'a', 'boon', 'for', 'charlevilles', 'visitors', 'when', 'the', 'charleville', 'bilby', 'experience', 'closed', 'its', 'doors', 'during', 'covid', 'lockdown', ',', 'the', 'resident', 'bilbies', 'made', 'the', 'most', 'of', 'their', 'newfound', 'privacy', '.', ""''""]]"
10162578302569988,"[['for', 'renna', 'gayde', ',', 'having', 'a', 'home', 'for', 'her', 'family', 'means', 'everything', ',', 'but', 'keeping', 'that', 'roof', 'over', 'her', 'head', 'is', 'also', 'entrenching', 'her', 'in', 'a', 'cycle', 'of', 'poverty', '.'], ['``', 'abc.net.au', 'was', 'housing', 'crisis', 'has', 'left', 'renna', 'gayde', 'living', 'in', 'a', 'constant', 'state', 'of', 'stress', '.', ""''""], ['``', 'and', 'shes', 'not', 'alone', 'for', 'renna', 'gayde', ',', 'having', 'a', 'home', 'for', 'her', 'family', 'means', 'everything', ',', 'but', 'keeping', 'that', 'roof', 'over', 'her', 'head', 'is', 'also', 'entrenching', 'her', 'in', 'a', 'cycle', 'of', 'poverty', '.', ""''""]]"
10162578335029988,"[['``', 'an', 'aged', 'care', 'worker', 'at', 'a', 'facility', 'in', 'melbournes', 'west', 'has', 'been', 'diagnosed', 'with', 'covid-19', ',', 'sending', 'the', 'home', 'into', 'lockdown', '.', ""''""], ['``', 'abc.net.au', 'melbourne', 'aged', 'care', 'home', 'sent', 'into', 'lockdown', 'after', 'worker', 'contracts', 'covid', 'an', 'aged', 'care', 'worker', 'at', 'a', 'facility', 'in', 'melbournes', 'west', 'is', 'diagnosed', 'with', 'covid-19', ',', 'sending', 'the', 'home', 'into', 'lockdown', '.', ""''""]]"
10162578300649988,"[['``', 'i', 'would', 'want', 'to', 'go', 'before', 'i\\m', 'in', 'nappies', 'and', 'before', 'someone', 'else', 'is', 'cleaning', 'up', 'my', 'excretions', 'as', 'part', 'of', 'their', 'daily', 'love', 'for', 'me', '.'], ['i', 'want', 'to', 'go', 'when', 'people', 'remember', 'me', 'as', 'being', 'peaceful', 'and', 'able', 'to', 'say', 'goodbye', '.', ""''""], ['``', 'abc.net.au', 'i', 'want', 'to', 'go', 'before', 'i', 'am', 'in', 'nappies', ':', 'therese', 'has', 'a', 'plan', 'for', 'the', 'end', 'of', 'her', 'life', 'and', 'a', 'message', 'for', 'parliamentarians', 'five', 'months', 'ago', ',', 'therese', 'mclean', 'says', 'her', 'life', 'started', 'to', 'end', '.', ""''""], ['her', 'personal', 'experience', 'has', 'only', 'strengthened', 'her', 'resolve', 'to', 'see', 'voluntary', 'assisted', 'dying', 'made', 'legal', 'in', 'queensland', '.']]"
10162578297219988,"[['nissan', 'australia', 'says', 'australia', 'is', '``', 'missing', 'out', ""''"", 'on', 'newer', ',', 'cheaper', 'electric', 'vehicle', 'models', 'in', 'favour', 'of', 'countries', 'that', 'offer', 'better', 'incentives', 'to', 'motorists', ',', 'pushing', 'the', 'country', 'further', 'behind', 'the', 'international', 'market', '.'], ['abc.net.au', 'global', 'car', 'giant', 'says', 'australia', 'is', '\\missing', 'out\\', 'on', 'new', ',', 'cheap', 'electric', 'car', 'models', 'electric', 'vehicle', 'experts', 'say', 'australia', 'is', 'a', '``', 'backwater', ""''"", 'for', 'global', 'car', 'manufacturers', 'and', 'is', 'missing', 'out', 'on', 'the', 'latest', 'ev', 'technology', '.']]"
10162578268209988,"[['milo', 'has', 'flavoured', 'australian', 'childhoods', 'since', 'the', 'great', 'depression', '.'], ['now', 'the', 'smithtown', 'factory', 'that', 'makes', 'it', 'celebrates', 'its', 'centenary', 'after', 'employing', 'generations', 'of', 'families', '.'], ['``', 'abc.net.au', 'the', 'town', 'thats', 'made', 'of', 'milo', 'drinks', 'to', 'factorys', 'century', 'of', 'success', ""''""]]"
