post_id,tokenization
10162596903039988,"[['``', 'The', 'Finke', 'Desert', 'Race', 'is', 'Australias', 'toughest', 'off-road', 'race', ',', 'an', 'annual', 'two-day', 'event', 'that', 'occurs', 'on', 'the', 'Queens', 'Birthday', 'long', 'weekend', '(', 'June', '11', 'to', '14', ')', '.', ""''""], ['ABC.NET.AU', 'Finke', 'Desert', 'Race', 'blow', 'for', 'Victorians', 'as', 'whole', 'state', 'declared', 'hotspot', 'Two', 'hundred', 'competitors', 'and', '40', 'volunteers', 'can', 'not', 'attend', 'the', 'first', 'Finke', 'Desert', 'Race', 'in', 'two', 'years', 'thanks', 'to', 'the', 'recent', 'Victorian', 'COVID-19', 'outbreak', ',', 'which', 'has', 'seen', 'greater', 'Melbourne', 'plunged', 'into', 'its', 'fourth', 'lockdown', '.']]"
10162596831079988,"[['Victoria', 'is', 'now', 'battling', 'COVID', 'on', 'multiple', 'fronts', '.'], ['ABC.NET.AU', 'Live', ':', 'Melbourne', 'office', 'building', ',', 'Costco', 'added', 'as', 'exposure', 'sites', 'as', 'investigations', 'continue', 'into', 'source', 'of', 'Delta', 'variant', 'infections', 'Health', 'authorities', 'in', 'two', 'states', 'are', 'still', 'trying', 'to', 'determine', 'how', 'the', 'family', 'who', 'holidayed', 'on', 'the', 'New', 'South', 'Wales', 'South', 'Coast', 'tested', 'positive', 'to', 'the', 'Delta', 'variant', 'of', 'the', 'virus', '.'], ['Follow', 'live', '.']]"
10162596765544988,"[['``', 'A', 'Collins', 'Street', 'office', 'building', 'in', 'Melbournes', 'CBD', 'and', 'a', 'supermarket', 'at', 'Docklands', 'have', 'been', 'added', 'to', 'Victorias', 'list', 'of', 'COVID', 'exposure', 'sites', ',', 'which', 'stands', 'at', 'more', 'than', '360', '.', ""''""], ['ABC.NET.AU', 'Melbourne', 'CBD', 'office', 'building', 'among', 'COVID-19', 'exposure', 'sites', 'There', 'are', 'still', 'more', 'than', '360', 'locations', 'listed', 'as', 'exposure', 'sites', 'in', 'Victoria', ',', 'even', 'after', 'some', 'venues', 'were', 'removed', 'after', 'two', 'cases', 'were', 'deemed', 'false', 'positives', 'earlier', 'this', 'week', '.']]"
10162596753424988,"[['``', 'All', 'of', 'a', 'sudden', 'we', 'heard', 'a', 'roar', 'about', 'one', 'o\\clock', 'in', 'the', 'morning', 'and', 'thought', '\\what\\s', 'that', '?', '\\', '.'], ['We', 'went', 'out', 'the', 'back', 'of', 'the', 'house', 'and', 'we', 'were', 'surrounded', 'by', 'water', '.', ""''""], ['``', 'ABC.NET.AU', 'Like', 'a', 'tsunami', ':', 'The', 'flood', 'disaster', 'this', 'town', 'will', 'never', 'forget', 'It', 'has', 'been', 'five', 'years', 'since', 'devastating', 'floodwaters', 'washed', 'through', 'the', 'Tasmanian', 'town', 'of', 'Latrobe', '.', ""''""], ['But', 'a', 'number', 'of', 'measures', 'that', 'could', 'prevent', 'a', 'similar', 'event', 'today', 'are', 'yet', 'to', 'be', 'implemented', '.']]"
10162596733979988,"[['Are', 'you', 'eligible', 'and', 'how', 'will', 'you', 'avoid', 'the', 'wait', 'times', '?'], ['``', 'Heres', 'your', 'go-to', 'guide', 'to', 'Queenslands', 'COVID', 'vaccine', 'hubs', '.', ""''""], ['``', 'ABC.NET.AU', 'New', 'COVID', 'vaccine', 'hubs', 'open', 'in', 'Queensland', 'this', 'weekend', '—', 'heres', 'where', 'you', 'can', 'get', 'the', 'jab', 'More', 'COVID-19', 'vaccine', 'hubs', 'are', 'open', 'across', 'Queensland', 'this', 'weekend', 'as', 'more', 'people', 'look', 'to', 'get', 'their', 'first', 'jab', '.', ""''""], ['Find', 'out', 'if', 'you', 'are', 'eligible', 'and', 'where', 'can', 'you', 'get', 'your', 'first', 'dose', '.']]"
10162596710079988,"[['1', '.'], ['New', 'cases', '—', 'are', 'they', 'linked', '?'], ['ABC.NET.AU', 'Victoria', 'is', 'now', 'battling', 'COVID', 'on', 'multiple', 'fronts', '.'], ['``', 'Here', 'are', 'four', 'things', 'to', 'watch', 'Victorias', 'coronavirus', 'outbreak', 'takes', 'a', 'concerning', 'turn', 'with', 'authorities', 'now', 'fighting', 'both', 'the', 'Kappa', 'and', 'Delta', 'variants', '.', ""''""]]"
10162594346794988,"[['Hope', 'after', 'heartbreak', '18', 'months', 'on💔', 'Kangaroo', 'Island', 'was', 'devastated', 'by', 'deadly', 'bushfires', '18', 'months', 'ago', '.'], ['For', 'some', ',', 'it', 'meant', 'losing', 'their', 'house', ',', 'livelihood', ',', 'and', 'loved', 'ones', '.'], ['Now', ',', 'the', 'region', 'is', 'finally', 'healing', '-', 'and', 'so', 'is', 'the', 'community', '.'], ['Hope', 'after', 'heartbreak', '18', 'months', 'on💔', 'Kangaroo', 'Island', 'was', 'devastated', 'by', 'deadly', 'bushfires', '18', 'months', 'ago', '.'], ['Play', 'Video']]"
10162596581899988,"[['A', 'junior', 'AFL', 'club', 'in', 'Queensland', 'has', 'taken', 'the', '``', 'drastic', 'step', ""''"", 'of', 'banning', 'parents', 'from', 'the', 'sidelines', 'after', 'a', 'spate', 'of', 'clashes', 'between', 'spectators', ',', 'teenage', 'umpires', 'and', 'volunteers', '.'], ['ABC.NET.AU', 'Parents', 'banned', 'from', 'sidelines', 'of', 'Gold', 'Coast', 'junior', 'AFL', 'games']]"
10162596574399988,"[['``', 'Apathy', ',', 'strength', ',', 'complacency', ',', 'commitment', ':', 'weve', 'seen', 'two', 'sides', 'of', 'the', 'pandemic', 'response', 'this', 'week', ',', 'writes', 'Virginia', 'Trioli', '.', ""''""], ['``', 'ABC.NET.AU', 'ANALYSIS', ':', 'With', 'lockdown', ',', 'a', 'new', 'variant', 'and', 'vaccine', 'shambles', ',', 'were', 'hanging', 'by', 'a', 'thread', 'this', 'week', ""''""]]"
10162596569159988,"[['The', 'pandemic', 'saw', 'the', 'remote', 'East', 'Kimberley', 'effectively', 'cut', 'off', 'from', 'the', 'rest', 'of', 'Australia', 'to', 'protect', 'its', 'vulnerable', 'Indigenous', 'population', '.'], ['But', 'signs', 'of', 'life', 'are', 'returning', 'and', 'lessons', 'in', 'resilience', 'abound', '.'], ['``', 'ABC.NET.AU', 'Its', 'always', 'darkest', 'before', 'the', 'dawn', 'on', 'the', 'road', 'of', 'COVID', 'recovery', ""''""]]"
